Time,1,2,3,4,5,6,7,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
Piano/Guitar Lead,,,,,,,C#3,B3,C#3,,,,F#2,,,,,,,,,,D3,C#3,D3,,C#3,,B3,,,,,,,,,,D3,C#3,D3,,,,F#2,,,,,,,,,,B3,A2,B3,,A2,,G#2,,B3,,A2,,,,,,G#2,A2,B3,,,,,,A2,B3,C#3,,B3,,A2,,G#2,,F#2,,,,D3,,,,C#3,,,,,,,,,,,,C#3,D3,C#3,B3,C#3,,
Guitar Chords,C#1,,,,,,,,,,,,,,,,D1,,,,,,,,,,,,,,,,D1,,,,,,,,,,,,,,,,E1,,,,,,,,F1,,,,,,,,C#1,,,,,,,,E1,,,,,,,,E1,,,,,,,,D1,,,,,,,,C#1,,,,,,,,,,,,,,,,C#1,,
line,F#1,,,,,,,,,,,,,,,,F#1,,,,,,,,,,,,,,,,F#1,,,,,,,,,,,,,,,,G#1,,,,,,,,G#1,,,,,,,,F#1,,,,,,,,G#1,,,,,,,,G#1,,,,,,,,F#1,,,,,,,,F1,,,,,,,,,,,,,,,,F1,,
line,A1,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,B2,,,,,,,,,,,,,,,,B2,,,,,,,,B2,,,,,,,,A1,,,,,,,,B2,,,,,,,,C#2,,,,,,,,A1,,,,,,,,G#1,,,,,,,,,,,,,,,,G#1,,
Piano Bass,F#0,,,,,,,,,,,,E0,,,,D0,,,,,,,,,,,,,,,,B0,,,,,,,,,,,,,,,,E0,,,,,,,,F0,,,,,,,,F#0,,,,,,,,G#0,,,,,,,,A0,,G#0,,F#0,,E0,,D0,,,,D1,,,,C#0,,,,,,,,,,,,,,,,C#0,,
line,F#1,,,,,,,,,,,,E1,,,,D1,,,,,,,,,,,,,,,,B1,,,,,,,,,,,,,,,,E1,,,,,,,,F1,,,,,,,,F#1,,,,,,,,G#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piano Harmony 1,,,,,,,A2,,A2,,,,C#2,,,,,,,,,,A2,,A2,,,,F#2,,,,,,,,,,B3,,B3,,,,D2,,,,,,,,,,G#2,,G#2,,,,,,,,F#2,,,,,,,,E2,,,,,,,,A2,,,,,,,,,,,,A2,,,,G#2,,,,,,,,,,,,,,,,G#2,,
Piano Harmony 2,,,,,,,F#2,,F#2,,,,A1,,,,,,,,,,F#2,,F#2,,,,D2,,,,,,,,,,F#2,,F#2,,,,B2,,,,,,,,,,E2,,F2,,,,F2,,,,C#2,,,,,,,,B2,,,,,,,,E2,,,,,,,,D2,,,,F#2,,,,F#2,,,,,,,,,,,,,,,,F2,,
